Company Name,Industry,Symbol,Series,ISIN Code
Aarti Drugs Ltd.,PHARMA,AARTIDRUGS,EQ,INE767A01016
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,EQ,INE837H01020
Aegis Logistics Ltd.,SERVICES,AEGISCHEM,EQ,INE208C01025
Alembic Ltd.,PHARMA,ALEMBICLTD,EQ,INE426A01027
Alok Industries Ltd.,TEXTILES,ALOKINDS,EQ,INE270A01029
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,EQ,INE371P01015
Angel One Ltd.,FINANCIAL SERVICES,ANGELONE,EQ,INE732I01013
Anupam Rasayan India Ltd.,CHEMICALS,ANURAS,EQ,INE930P01018
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,EQ,INE439A01020
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,EQ,INE442H01029
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,EQ,INE914M01019
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,EQ,INE203A01020
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,EQ,INE871C01038
BASF India Ltd.,CHEMICALS,BASF,EQ,INE373A01013
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,EQ,INE258A01016
BSE Ltd.,FINANCIAL SERVICES,BSE,EQ,INE118H01025
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,EQ,INE933K01021
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,EQ,INE193E01025
Balaji Amines Ltd.,CHEMICALS,BALAMINES,EQ,INE050E01027
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,EQ,INE119A01028
Bank of Maharashtra,FINANCIAL SERVICES,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,EQ,INE171Z01018
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,EQ,INE838B01013
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,EQ,INE340A01012
Birlasoft Ltd.,IT,BSOFT,EQ,INE836A01035
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,EQ,INE472A01039
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,EQ,INE050A01025
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,EQ,INE791I01019
Burger King India Ltd.,CONSUMER SERVICES,BURGERKING,EQ,INE07T201019
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,EQ,INE421D01022
CESC Ltd.,POWER,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,INDUSTRIAL MANUFACTURING,CGPOWER,EQ,INE067A01029
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,EQ,INE679A01013
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,EQ,INE477A01020
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,EQ,INE475E01026
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,EQ,INE180C01026
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,EQ,INE120A01034
Ceat Ltd.,AUTOMOBILE,CEATLTD,EQ,INE482A01020
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,EQ,INE483A01010
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,EQ,INE736A01011
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,EQ,INE348B01021
Century Textile & Industries Ltd.,PAPER AND JUTE,CENTURYTEX,EQ,INE055A01016
Cera Sanitaryware Ltd,CONSUMER GOODS,CERA,EQ,INE739E01017
Chalet Hotels Ltd.,CONSUMER SERVICES,CHALET,EQ,INE427F01016
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,EQ,INE085A01013
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,EQ,INE704P01017
Computer Age Management Services Ltd.,FINANCIAL SERVICES,CAMS,EQ,INE596I01012
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,EQ,INE741K01010
Cyient Ltd.,IT,CYIENT,EQ,INE136B01020
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,EQ,INE503A01015
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,EQ,INE499A01024
Delta Corp Ltd.,CONSUMER SERVICES,DELTACORP,EQ,INE124G01033
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,EQ,INE435G01025
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,EQ,INE917M01012
E.I.D. Parry (India) Ltd.,CONSUMER GOODS,EIDPARRY,EQ,INE126A01031
EIH Ltd.,CONSUMER SERVICES,EIHOTEL,EQ,INE230A01023
EPL Ltd.,INDUSTRIAL MANUFACTURING,EPL,EQ,INE255A01020
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,EQ,INE532F01054
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,EQ,INE285A01027
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,EQ,INE510A01028
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,EQ,INE988K01017
Equitas Small Finance Bank Ltd.,FINANCIAL SERVICES,EQUITASBNK,EQ,INE063P01018
Eris Lifesciences Ltd.,PHARMA,ERIS,EQ,INE406M01024
FDC Ltd.,PHARMA,FDC,EQ,INE258B01022
Fertilisers and Chemicals Travancore Ltd.,FERTILISERS & PESTICIDES,FACT,EQ,INE188A01015
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,EQ,INE686Y01026
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,EQ,INE235A01022
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,EQ,INE183A01024
Firstsource Solutions Ltd.,IT,FSL,EQ,INE684F01012
Future Retail Ltd.,CONSUMER SERVICES,FRETAIL,EQ,INE752P01024
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,EQ,INE541A01023
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,EQ,INE600K01018
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,EQ,INE276A01018
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,EQ,INE260B01028
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,EQ,INE850D01014
Granules India Ltd.,PHARMA,GRANULES,EQ,INE101D01020
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,EQ,INE371A01025
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,EQ,INE017A01032
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,EQ,INE224A01026
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,EQ,INE536A01023
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,EQ,INE186A01019
Gujarat Ambuja Exports Ltd.,CONSUMER GOODS,GAEL,EQ,INE036B01030
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,EQ,INE09N301011
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,EQ,INE113A01013
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,EQ,INE517F01014
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,EQ,INE026A01025
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,EQ,INE545A01016
HFCL Ltd.,TELECOM,HFCL,EQ,INE548A01028
Happiest Minds Technologies Ltd.,IT,HAPPSTMNDS,EQ,INE419U01012
Hathway Cable & Datacom Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,HATHWAY,EQ,INE982F01036
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,EQ,INE578A01017
Hemisphere Properties India Ltd.,CONSTRUCTION,HEMIPROP,EQ,INE0AJG01018
Hikal Ltd.,PHARMA,HIKAL,EQ,INE475B01022
Hinduja Global Solutions Ltd.,IT,HGS,EQ,INE170I01016
Hitachi Energy India Ltd.,INDUSTRIAL MANUFACTURING,POWERINDIA,EQ,INE07Y701011
Home First Finance Company India Ltd.,FINANCIAL SERVICES,HOMEFIRST,EQ,INE481N01025
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,EQ,INE031A01017
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,EQ,INE008A01015
IDFC Ltd.,FINANCIAL SERVICES,IDFC,EQ,INE043D01016
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,EQ,INE559A01017
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,EQ,INE530B01024
IIFL Wealth Management Ltd.,FINANCIAL SERVICES,IIFLWAM,EQ,INE466L01020
IOL Chem and Pharma Ltd.,PHARMA,IOLCP,EQ,INE485C01011
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,EQ,INE821I01014
IRCON International Ltd.,CONSTRUCTION,IRCON,EQ,INE962Y01021
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,EQ,INE383A01012
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,EQ,INE069I01010
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,EQ,INE022Q01020
Indian Overseas Bank,FINANCIAL SERVICES,IOB,EQ,INE565A01014
Indigo Paints Ltd.,CONSUMER GOODS,INDIGOPNTS,EQ,INE09VQ01012
Indo Count Industries Ltd.,TEXTILES,ICIL,EQ,INE483B01026
Indoco Remedies Ltd.,PHARMA,INDOCO,EQ,INE873D01024
Infibeam Avenues Ltd.,IT,INFIBEAM,EQ,INE483S01020
Ingersoll Rand (India) Ltd.,INDUSTRIAL MANUFACTURING,INGERRAND,EQ,INE177A01018
Inox Leisure Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,INOXLEISUR,EQ,INE312H01016
Intellect Design Arena Ltd.,IT,INTELLECT,EQ,INE306R01017
J.B. Chemicals & Pharmaceuticals Ltd.,PHARMA,JBCHEPHARM,EQ,INE572A01028
JK Lakshmi Cement Ltd.,CEMENT & CEMENT PRODUCTS,JKLAKSHMI,EQ,INE786A01032
JK Paper Ltd.,PAPER AND JUTE,JKPAPER,EQ,INE789E01012
JK Tyre & Industries Ltd.,AUTOMOBILE,JKTYRE,EQ,INE573A01042
JM Financial Ltd.,FINANCIAL SERVICES,JMFINANCIL,EQ,INE780C01023
Jamna Auto Industries Ltd.,AUTOMOBILE,JAMNAAUTO,EQ,INE039C01032
Jindal Saw Ltd.,METALS,JINDALSAW,EQ,INE324A01024
Jindal Stainless (Hisar) Ltd.,METALS,JSLHISAR,EQ,INE455T01018
Jindal Stainless Ltd.,METALS,JSL,EQ,INE220G01021
Johnson Controls - Hitachi Air Conditioning India Ltd.,CONSUMER GOODS,JCHAC,EQ,INE782A01015
Jubilant Ingrevia Ltd.,CHEMICALS,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmova Ltd.,PHARMA,JUBLPHARMA,EQ,INE700A01033
Justdial Ltd.,CONSUMER SERVICES,JUSTDIAL,EQ,INE599M01018
Jyothy Labs Ltd.,CONSUMER GOODS,JYOTHYLAB,EQ,INE668F01031
K.P.R. Mill Ltd.,TEXTILES,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,INDUSTRIAL MANUFACTURING,KEI,EQ,INE878B01027
KNR Constructions Ltd.,CONSTRUCTION,KNRCON,EQ,INE634I01029
KPIT Technologies Ltd.,IT,KPITTECH,EQ,INE04I401011
KRBL Ltd.,CONSUMER GOODS,KRBL,EQ,INE001B01026
KSB Ltd.,INDUSTRIAL MANUFACTURING,KSB,EQ,INE999A01015
Kalpataru Power Transmission Ltd.,POWER,KALPATPOWR,EQ,INE220B01022
Kalyan Jewellers India Ltd.,CONSUMER GOODS,KALYANKJIL,EQ,INE303R01014
Karur Vysya Bank Ltd.,FINANCIAL SERVICES,KARURVYSYA,EQ,INE036D01028
Kaveri Seed Company Ltd.,CONSUMER GOODS,KSCL,EQ,INE455I01029
Kec International Ltd.,POWER,KEC,EQ,INE389H01022
La Opala RG Ltd.,CONSUMER GOODS,LAOPALA,EQ,INE059D01020
Lakshmi Machine Works Ltd.,INDUSTRIAL MANUFACTURING,LAXMIMACH,EQ,INE269B01029
Laxmi Organic Industries Ltd.,CHEMICALS,LXCHEM,EQ,INE576O01020
Lemon Tree Hotels Ltd.,CONSUMER SERVICES,LEMONTREE,EQ,INE970X01018
Lux Industries Ltd.,TEXTILES,LUXIND,EQ,INE150G01020
MMTC Ltd.,SERVICES,MMTC,EQ,INE123F01029
MOIL Ltd.,METALS,MOIL,EQ,INE490G01020
Mahindra CIE Automotive Ltd.,INDUSTRIAL MANUFACTURING,MAHINDCIE,EQ,INE536H01010
Mahindra Holidays & Resorts India Ltd.,CONSUMER SERVICES,MHRIL,EQ,INE998I01010
Mahindra Logistics Ltd.,SERVICES,MAHLOG,EQ,INE766P01016
Mangalore Refinery & Petrochemicals Ltd.,OIL & GAS,MRPL,EQ,INE103A01014
Mastek Ltd.,IT,MASTEK,EQ,INE759A01021
Mazagoan Dock Shipbuilders Ltd.,INDUSTRIAL MANUFACTURING,MAZDOCK,EQ,INE249Z01012
Minda Corporation Ltd.,AUTOMOBILE,MINDACORP,EQ,INE842C01021
Mishra Dhatu Nigam Ltd.,INDUSTRIAL MANUFACTURING,MIDHANI,EQ,INE099Z01011
Multi Commodity Exchange of India Ltd.,FINANCIAL SERVICES,MCX,EQ,INE745G01035
NBCC (India) Ltd.,CONSTRUCTION,NBCC,EQ,INE095N01031
NCC Ltd.,CONSTRUCTION,NCC,EQ,INE868B01028
NESCO Ltd.,SERVICES,NESCO,EQ,INE317F01035
NLC India Ltd.,POWER,NLCINDIA,EQ,INE589A01014
NOCIL Ltd.,CHEMICALS,NOCIL,EQ,INE163A01018
Narayana Hrudayalaya Ltd.,HEALTHCARE SERVICES,NH,EQ,INE410P01011
National Fertilizers Ltd.,FERTILISERS & PESTICIDES,NFL,EQ,INE870D01012
Nazara Technologies Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NAZARA,EQ,INE418L01021
Network18 Media & Investments Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,NETWORK18,EQ,INE870H01013
Nilkamal Ltd.,INDUSTRIAL MANUFACTURING,NILKAMAL,EQ,INE310A01015
Orient Electric Ltd.,CONSUMER GOODS,ORIENTELEC,EQ,INE142Z01019
PCBL Ltd.,CHEMICALS,PCBL,EQ,INE602A01023
PNB Housing Finance Ltd.,FINANCIAL SERVICES,PNBHOUSING,EQ,INE572E01012
PNC Infratech Ltd.,CONSTRUCTION,PNCINFRA,EQ,INE195J01029
PVR Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,PVR,EQ,INE191H01014
Poly Medicure Ltd.,HEALTHCARE SERVICES,POLYMED,EQ,INE205C01021
Polyplex Corporation Ltd.,INDUSTRIAL MANUFACTURING,POLYPLEX,EQ,INE633B01018
Poonawalla Fincorp Ltd.,FINANCIAL SERVICES,POONAWALLA,EQ,INE511C01022
Praj Industries Ltd.,INDUSTRIAL MANUFACTURING,PRAJIND,EQ,INE074A01025
Prince Pipes and Fittings Ltd.,INDUSTRIAL MANUFACTURING,PRINCEPIPE,EQ,INE689W01016
Prism Johnson Ltd.,CEMENT & CEMENT PRODUCTS,PRSMJOHNSN,EQ,INE010A01011
Procter & Gamble Health Ltd.,PHARMA,PGHL,EQ,INE199A01012
Quess Corp Ltd.,SERVICES,QUESS,EQ,INE615P01015
RHI MAGNESITA INDIA LTD.,INDUSTRIAL MANUFACTURING,RHIM,EQ,INE743M01012
RITES Ltd.,SERVICES,RITES,EQ,INE320J01015
Radico Khaitan Ltd,CONSUMER GOODS,RADICO,EQ,INE944F01028
Rail Vikas Nigam Ltd.,CONSTRUCTION,RVNL,EQ,INE415G01027
Railtel Corporation Of India Ltd.,TELECOM,RAILTEL,EQ,INE0DD101019
Rain Industries Ltd,CHEMICALS,RAIN,EQ,INE855B01025
Rallis India Ltd.,FERTILISERS & PESTICIDES,RALLIS,EQ,INE613A01020
Rashtriya Chemicals & Fertilizers Ltd.,FERTILISERS & PESTICIDES,RCF,EQ,INE027A01015
Ratnamani Metals & Tubes Ltd.,METALS,RATNAMANI,EQ,INE703B01027
Redington (India) Ltd.,SERVICES,REDINGTON,EQ,INE891D01026
Rossari Biotech Ltd.,CHEMICALS,ROSSARI,EQ,INE02A801020
Route Mobile Ltd.,IT,ROUTE,EQ,INE450U01017
SIS Ltd.,SERVICES,SIS,EQ,INE285J01028
SJVN Ltd.,POWER,SJVN,EQ,INE002L01015
Schneider Electric Infrastructure Ltd.,INDUSTRIAL MANUFACTURING,SCHNEIDER,EQ,INE839M01018
Sequent Scientific Ltd.,PHARMA,SEQUENT,EQ,INE807F01027
Sharda Cropchem Ltd.,FERTILISERS & PESTICIDES,SHARDACROP,EQ,INE221J01015
Sheela Foam Ltd.,CONSUMER GOODS,SFL,EQ,INE916U01025
Shilpa Medicare Ltd.,PHARMA,SHILPAMED,EQ,INE790G01031
Shipping Corporation of India Ltd.,SERVICES,SCI,EQ,INE109A01011
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,EQ,INE722A01011
Sobha Ltd.,CONSTRUCTION,SOBHA,EQ,INE671H01015
Solara Active Pharma Sciences Ltd.,PHARMA,SOLARA,EQ,INE624Z01016
Sonata Software Ltd.,IT,SONATSOFTW,EQ,INE269A01021
Spandana Sphoorty Financial Ltd.,FINANCIAL SERVICES,SPANDANA,EQ,INE572J01011
Spicejet Ltd.,SERVICES,SPICEJET,EQ,INE285B01017
Star Cement Ltd.,CEMENT & CEMENT PRODUCTS,STARCEMENT,EQ,INE460H01021
Sterling and Wilson Renewable Energy Ltd.,CONSTRUCTION,SWSOLAR,EQ,INE00M201021
Sterlite Technologies Ltd.,TELECOM,STLTECH,EQ,INE089C01029
Strides Pharma Science Ltd.,PHARMA,STAR,EQ,INE939A01011
Sudarshan Chemical Industries Ltd.,CHEMICALS,SUDARSCHEM,EQ,INE659A01023
Sun Pharma Advanced Research Company Ltd.,PHARMA,SPARC,EQ,INE232I01014
Sunteck Realty Ltd.,CONSTRUCTION,SUNTECK,EQ,INE805D01034
Suprajit Engineering Ltd.,AUTOMOBILE,SUPRAJIT,EQ,INE399C01030
Supreme Petrochem Ltd.,CHEMICALS,SUPPETRO,EQ,INE663A01017
Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,SUZLON,EQ,INE040H01021
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,EQ,INE225D01027
TCI Express Ltd.,SERVICES,TCIEXP,EQ,INE586V01016
TCNS Clothing Co. Ltd.,TEXTILES,TCNSBRANDS,EQ,INE778U01029
TV18 Broadcast Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,TV18BRDCST,EQ,INE886H01027
Tanla Platforms Ltd.,IT,TANLA,EQ,INE483C01032
Tasty Bite Eatables Ltd.,CONSUMER GOODS,TASTYBITE,EQ,INE488B01017
Tata Coffee Ltd.,CONSUMER GOODS,TATACOFFEE,EQ,INE493A01027
Tata Steel Long Products Ltd.,METALS,TATASTLLP,EQ,INE674A01014
Tata Teleservices (Maharashtra) Ltd.,TELECOM,TTML,BE,INE517B01013
Teamlease Services Ltd.,SERVICES,TEAMLEASE,EQ,INE985S01024
Thyrocare Technologies Ltd.,HEALTHCARE SERVICES,THYROCARE,EQ,INE594H01019
Timken India Ltd.,INDUSTRIAL MANUFACTURING,TIMKEN,EQ,INE325A01013
Trident Ltd.,TEXTILES,TRIDENT,BE,INE064C01022
Triveni Turbine Ltd.,INDUSTRIAL MANUFACTURING,TRITURBINE,EQ,INE152M01016
UCO Bank,FINANCIAL SERVICES,UCOBANK,EQ,INE691A01018
UFLEX Ltd.,INDUSTRIAL MANUFACTURING,UFLEX,EQ,INE516A01017
UTI Asset Management Company Ltd.,FINANCIAL SERVICES,UTIAMC,EQ,INE094J01016
Ujjivan Financial Services Ltd.,FINANCIAL SERVICES,UJJIVAN,EQ,INE334L01012
Ujjivan Small Finance Bank Ltd.,FINANCIAL SERVICES,UJJIVANSFB,EQ,INE551W01018
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027
V-Mart Retail Ltd.,CONSUMER SERVICES,VMART,EQ,INE665J01013
V.I.P. Industries Ltd.,CONSUMER GOODS,VIPIND,EQ,INE054A01027
Vakrangee Ltd.,IT,VAKRANGEE,EQ,INE051B01021
Valiant Organics Ltd.,CHEMICALS,VALIANTORG,EQ,INE565V01010
Vardhman Textiles Ltd.,TEXTILES,VTL,EQ,INE825A01012
Varroc Engineering Ltd.,AUTOMOBILE,VARROC,EQ,INE665L01035
Venky's (India) Ltd.,CONSUMER GOODS,VENKEYS,EQ,INE398A01010
Welspun Corp Ltd.,METALS,WELCORP,EQ,INE191B01025
Welspun India Ltd.,TEXTILES,WELSPUNIND,EQ,INE192B01031
Westlife Development Ltd.,CONSUMER SERVICES,WESTLIFE,EQ,INE274F01020
Wockhardt Ltd.,PHARMA,WOCKPHARMA,EQ,INE049B01025
Zensar Technolgies Ltd.,IT,ZENSARTECH,EQ,INE520A01027
eClerx Services Ltd.,IT,ECLERX,EQ,INE738I01010
